Name,Score,Members,Popularity,Genres,Studios,Synopsis
Mob Psycho 100,8.60,1600000,20,"Action, Comedy, Supernatural",Bones,"A powerful psychic tries to live a normal life while controlling his emotions."
Spy x Family,8.55,1900000,21,"Comedy, Action",Wit Studio,"A spy creates a fake family for a secret mission, unaware of their own secrets."
Re:Zero,8.35,1750000,22,"Fantasy, Psychological",White Fox,"Subaru gains the ability to return from death in another world."
Sword Art Online,7.80,2600000,23,"Action, Adventure, Fantasy",A-1 Pictures,"Players become trapped in a virtual reality game where death is real."
Tokyo Ghoul,7.95,2200000,24,"Action, Horror",Pierrot,"A college student becomes half-ghoul after a deadly encounter."
Erased,8.50,1450000,25,"Mystery, Supernatural, Thriller",A-1 Pictures,"A man travels back in time to prevent a series of child murders."
Parasyte,8.40,1550000,26,"Action, Horror, Sci-Fi",Madhouse,"Alien parasites invade human bodies and one teenager fights to survive."
Your Lie in April,8.65,1650000,27,"Drama, Romance, Music",A-1 Pictures,"A pianist rediscovers music through a free-spirited violinist."
A Silent Voice,8.90,1500000,28,"Drama, Romance",Kyoto Animation,"A former bully seeks redemption by reconnecting with a deaf girl."
I Want to Eat Your Pancreas,8.70,1200000,29,"Drama, Romance",Studio VOLN,"A reserved boy forms a bond with a terminally ill classmate."
Made in Abyss,8.75,1100000,30,"Adventure, Fantasy, Mystery",Kinema Citrus,"A girl descends into a mysterious abyss searching for her mother."
The Promised Neverland,8.55,1350000,31,"Mystery, Thriller",CloverWorks,"Children discover the dark truth behind their orphanage and plan an escape."
Kaguya-sama: Love is War,8.60,1300000,32,"Comedy, Romance",A-1 Pictures,"Two genius students try to make the other confess first."
Haikyuu!!,8.80,1750000,33,"Sports, Comedy",Production I.G,"Hinata joins a volleyball team and pursues his dream of becoming a top player."
Blue Lock,8.35,1250000,34,"Sports, Drama",8bit,"A radical training program seeks to create Japan's ultimate soccer striker."
Kuroko's Basketball,8.20,1400000,35,"Sports, Comedy",Production I.G,"A shadow-like player helps his new team challenge legendary rivals."
JoJo's Bizarre Adventure,8.50,1650000,36,"Action, Adventure, Supernatural",David Production,"Generations of the Joestar family battle supernatural enemies across history."
Dragon Ball Z,8.75,2800000,37,"Action, Adventure",Toei Animation,"Goku and his friends defend Earth from powerful extraterrestrial threats."
Cowboy Bebop,8.85,1000000,38,"Action, Sci-Fi",Sunrise,"A group of bounty hunters travels through space chasing criminals and their pasts."
Neon Genesis Evangelion,8.45,1150000,39,"Psychological, Mecha, Drama",Gainax,"Teenagers pilot giant robots to fight mysterious beings called Angels."
Monster,9.02,950000,40,"Mystery, Psychological, Thriller",Madhouse,"A doctor hunts a former patient who has become a terrifying serial killer."
Psycho-Pass,8.55,980000,41,"Sci-Fi, Psychological, Thriller",Production I.G,"Inspectors enforce justice in a future where mental states determine criminality."
Fate/Zero,8.65,1050000,42,"Action, Fantasy, Supernatural",ufotable,"Mages summon legendary heroes to fight in a deadly battle royale."
Fate/stay night: Unlimited Blade Works,8.35,1020000,43,"Action, Fantasy, Supernatural",ufotable,"Shirou becomes involved in the Holy Grail War alongside powerful heroic spirits."
Gintama,9.05,920000,44,"Comedy, Action",Sunrise,"An eccentric samurai takes odd jobs in an alien-occupied Edo."
Berserk,8.95,880000,45,"Action, Dark Fantasy",OLM,"The mercenary Guts struggles against fate, demons, and human cruelty."
Mushoku Tensei,8.70,970000,46,"Fantasy, Adventure",Studio Bind,"A man is reborn in another world and decides to live life seriously."
That Time I Got Reincarnated as a Slime,8.10,1250000,47,"Fantasy, Comedy",8bit,"A salaryman is reborn as a slime and builds a thriving monster nation."
Overlord,8.05,1180000,48,"Fantasy, Action",Madhouse,"A gamer remains trapped in a virtual world as an all-powerful undead ruler."
No Game No Life,8.20,1450000,49,"Fantasy, Comedy",Madhouse,"Sibling gamers are transported to a world where all conflicts are decided by games."
The Rising of the Shield Hero,8.00,1320000,50,"Fantasy, Action",Kinema Citrus,"Naofumi is summoned as the Shield Hero and must survive betrayal and hostility."
